Date,WindSpeed,WindDirection,WindEnergy
01/01/2016 00:00:00,12.96,190,280606.59
02/01/2016 00:00:00,10.68,217,181981.12
03/01/2016 00:00:00,16.69,223,329470.87
04/01/2016 00:00:00,11.35,250,216707.38
05/01/2016 00:00:00,12.72,261,204859.99
06/01/2016 00:00:00,14.62,222,278101.8
07/01/2016 00:00:00,16.03,233,247007.3
08/01/2016 00:00:00,NA,NA,NA
09/01/2016 00:00:00,NA,NA,NA
10/01/2016 00:00:00,NA,NA,NA
11/01/2016 00:00:00,12.54,242,173022.73
12/01/2016 00:00:00,6.95,240,67786.82
13/01/2016 00:00:00,11.29,172,184159.49
14/01/2016 00:00:00,7.54,356,44669.62
15/01/2016 00:00:00,7.47,25,60702.52
16/01/2016 00:00:00,8.42,106,103147.79
17/01/2016 00:00:00,8.73,163,137305.93
18/01/2016 00:00:00,11.04,255,181702.64
19/01/2016 00:00:00,5.49,167,21176.81
20/01/2016 00:00:00,6.22,146,38845.27
21/01/2016 00:00:00,7.5,168,77601.53
22/01/2016 00:00:00,8.89,192,129237.69
23/01/2016 00:00:00,5.57,166,38877.01
24/01/2016 00:00:00,8.75,148,153109.35
25/01/2016 00:00:00,6.55,228,67258.83
26/01/2016 00:00:00,7.52,194,73212.95
27/01/2016 00:00:00,10.55,181,184131.5
28/01/2016 00:00:00,6.24,314,42555.14
29/01/2016 00:00:00,3.92,311,12897.69
30/01/2016 00:00:00,11.92,222,245844.99
31/01/2016 00:00:00,9.98,238,167593.91
01/02/2016 00:00:00,3.94,248,2625.2
02/02/2016 00:00:00,5.47,263,16843.92
03/02/2016 00:00:00,5.83,7,30271.55
04/02/2016 00:00:00,6.68,88,62564.83
05/02/2016 00:00:00,7.87,196,75867.93
06/02/2016 00:00:00,14.63,209,263259.33
07/02/2016 00:00:00,12.9,234,255069.66
08/02/2016 00:00:00,17.08,226,354637.16
09/02/2016 00:00:00,18.6,238,338077.08
10/02/2016 00:00:00,12.45,257,232708.11
11/02/2016 00:00:00,8.96,242,129592.19
12/02/2016 00:00:00,14.67,249,314024.33
13/02/2016 00:00:00,16.04,249,296676.25
14/02/2016 00:00:00,16.14,283,243354.82
15/02/2016 00:00:00,9.92,359,134126.03
16/02/2016 00:00:00,4.35,50,31110.99
17/02/2016 00:00:00,7.79,227,78147.65
18/02/2016 00:00:00,4.88,307,12518.63
19/02/2016 00:00:00,3.74,239,8734.76
20/02/2016 00:00:00,3.32,197,2148.75
21/02/2016 00:00:00,4.45,156,12705.97
22/02/2016 00:00:00,5.84,245,28738.8
23/02/2016 00:00:00,9.74,221,152063.52
24/02/2016 00:00:00,6.99,220,57289.21
25/02/2016 00:00:00,6.01,270,44089.49
26/02/2016 00:00:00,8.74,266,98084.24
27/02/2016 00:00:00,9.31,304,106389.42
28/02/2016 00:00:00,8.39,342,60621.22
29/02/2016 00:00:00,5.74,24,29175.76
01/03/2016 00:00:00,5.12,248,59850.78
02/03/2016 00:00:00,8.88,269,121596.58
03/03/2016 00:00:00,7.83,263,90019.43
04/03/2016 00:00:00,14.29,255,256883.46
05/03/2016 00:00:00,9.9,297,139633.7
06/03/2016 00:00:00,9.21,285,126581.26
07/03/2016 00:00:00,9.78,338,115744.17
08/03/2016 00:00:00,5.96,296,28036.69
09/03/2016 00:00:00,11.3,286,207526.02
10/03/2016 00:00:00,8.38,337,72300.62
11/03/2016 00:00:00,5.97,30,49524.75
12/03/2016 00:00:00,6.99,68,86037.37
13/03/2016 00:00:00,8.05,67,106381.82
14/03/2016 00:00:00,8.15,83,111838.56
15/03/2016 00:00:00,6.09,95,31327.01
16/03/2016 00:00:00,5.41,52,18029.67
17/03/2016 00:00:00,5.47,62,24533.29
18/03/2016 00:00:00,7.9,81,76314.36
19/03/2016 00:00:00,5.6,56,25766.68
20/03/2016 00:00:00,6.44,21,68831.93
21/03/2016 00:00:00,7,35,102894.22
22/03/2016 00:00:00,5.91,39,67303.34
23/03/2016 00:00:00,6.85,33,85352.04
24/03/2016 00:00:00,5.13,322,20304.17
25/03/2016 00:00:00,8.6,198,97574.23
26/03/2016 00:00:00,14.79,216,284523.03
27/03/2016 00:00:00,15.87,211,273111.13
28/03/2016 00:00:00,11.51,232,185284.54
29/03/2016 00:00:00,9.22,219,113915.37
30/03/2016 00:00:00,8.67,308,86839.78
31/03/2016 00:00:00,7.67,342,53301.65
01/04/2016 00:00:00,4.86,146,8187.18
02/04/2016 00:00:00,7.39,168,83346.52
03/04/2016 00:00:00,12.2,201,204649.14
04/04/2016 00:00:00,5.96,264,27824.99
05/04/2016 00:00:00,5.12,338,3678.48
06/04/2016 00:00:00,5.18,356,9971.25
07/04/2016 00:00:00,6.54,349,25352.99
08/04/2016 00:00:00,5.96,297,25212.86
09/04/2016 00:00:00,7.74,244,73623.55
10/04/2016 00:00:00,10.7,189,180941.31
11/04/2016 00:00:00,8.12,168,132617.26
12/04/2016 00:00:00,9.67,163,168670.71
13/04/2016 00:00:00,9.91,177,139101.24
14/04/2016 00:00:00,10.67,199,196067.68
15/04/2016 00:00:00,6,153,30212.5
16/04/2016 00:00:00,5.35,206,19296.2
17/04/2016 00:00:00,4.99,58,27102.76
18/04/2016 00:00:00,7.9,72,85441.24
19/04/2016 00:00:00,10.3,104,122313.04
20/04/2016 00:00:00,5.02,130,8470.51
21/04/2016 00:00:00,5.69,174,27380.48
22/04/2016 00:00:00,5.43,230,10077.47
23/04/2016 00:00:00,4.66,30,5214.81
24/04/2016 00:00:00,6.03,44,53503.04
25/04/2016 00:00:00,6.23,68,42955.69
26/04/2016 00:00:00,4.9,42,9448.36
27/04/2016 00:00:00,6.5,56,67770.57
28/04/2016 00:00:00,7.79,42,135810.49
29/04/2016 00:00:00,6.03,23,36881.02
30/04/2016 00:00:00,6.05,23,44139.37
01/05/2016 00:00:00,5.99,60,52438.11
02/05/2016 00:00:00,5.93,60,34659.2
03/05/2016 00:00:00,9.02,78,104499.66
04/05/2016 00:00:00,6.29,98,57581.51
05/05/2016 00:00:00,5.29,242,8156.28
06/05/2016 00:00:00,4,47,3801.14
07/05/2016 00:00:00,9.58,146,135262.45
08/05/2016 00:00:00,9.21,131,109545.51
09/05/2016 00:00:00,5.81,151,52074.55
10/05/2016 00:00:00,5.52,133,29044.8
11/05/2016 00:00:00,5.04,139,13731.63
12/05/2016 00:00:00,5.55,294,26355.97
13/05/2016 00:00:00,8.51,263,103980.08
14/05/2016 00:00:00,6.43,272,38379.87
15/05/2016 00:00:00,4.26,35,13397.49
16/05/2016 00:00:00,5.32,76,17753.36
17/05/2016 00:00:00,4.87,41,3767.45
18/05/2016 00:00:00,7.4,268,65841.87
19/05/2016 00:00:00,5.05,263,8572.52
20/05/2016 00:00:00,5.06,186,14227.57
21/05/2016 00:00:00,8.14,218,84912.89
22/05/2016 00:00:00,9.09,273,134096.22
23/05/2016 00:00:00,5.6,89,18813.33
24/05/2016 00:00:00,6.57,165,44378.94
25/05/2016 00:00:00,6.82,196,37277.47
26/05/2016 00:00:00,5.03,124,4595.08
27/05/2016 00:00:00,5.73,153,19657.5
28/05/2016 00:00:00,6.71,176,52316.87
29/05/2016 00:00:00,8.2,234,86685.8
30/05/2016 00:00:00,6.86,273,47419.11
31/05/2016 00:00:00,4.96,24,28680.69
01/06/2016 00:00:00,7.17,58,107008.29
02/06/2016 00:00:00,6.2,80,36299.85
03/06/2016 00:00:00,5.7,248,16462.41
04/06/2016 00:00:00,5.1,243,4469.74
