time,P,Gb(i),Gd(i),H_sun,T2m,WS10m
01/01/2014 00:00:00,0,0,0,0,6.99,1.77
01/01/2014 01:00:00,0,0,0,0,7.21,1.36
01/01/2014 02:00:00,0,0,0,0,7.43,0.95
01/01/2014 03:00:00,0,0,0,0,7.64,0.54
01/01/2014 04:00:00,0,0,0,0,7.47,0.76
01/01/2014 05:00:00,0,0,0,0,7.29,0.99
01/01/2014 06:00:00,0,0,0,0,7.11,1.21
01/01/2014 07:00:00,0,0,0,0,7.66,1.51
01/01/2014 08:00:00,20.54,7,34.19,5.66,8.2,1.8
01/01/2014 09:00:00,66.48,2,92,14.71,8.74,2.1
01/01/2014 10:00:00,98.33,1,130,22.06,9.54,2.11
01/01/2014 11:00:00,133.57,2,170,27.09,10.33,2.13
01/01/2014 12:00:00,276.43,94,245,29.19,11.13,2.15
01/01/2014 13:00:00,122.45,1,159,28.08,11.51,2.12
01/01/2014 14:00:00,115.26,2,150,23.9,11.9,2.09
01/01/2014 15:00:00,92.98,7,120,17.2,12.28,2.06
01/01/2014 16:00:00,41.09,8,59,8.62,11.42,1.91
01/01/2014 17:00:00,0,0,0,0,10.55,1.77
01/01/2014 18:00:00,0,0,0,0,9.68,1.63
01/01/2014 19:00:00,0,0,0,0,9.84,2.03
01/01/2014 20:00:00,0,0,0,0,10,2.44
01/01/2014 21:00:00,0,0,0,0,10.15,2.84
01/01/2014 22:00:00,0,0,0,0,10.57,3
01/01/2014 23:00:00,0,0,0,0,10.98,3.16
02/01/2014 00:00:00,0,0,0,0,11.39,3.32
02/01/2014 01:00:00,0,0,0,0,11.11,3.39
02/01/2014 02:00:00,0,0,0,0,10.83,3.46
02/01/2014 03:00:00,0,0,0,0,10.54,3.53
02/01/2014 04:00:00,0,0,0,0,10.61,3.58
02/01/2014 05:00:00,0,0,0,0,10.67,3.63
02/01/2014 06:00:00,0,0,0,0,10.73,3.68
02/01/2014 07:00:00,0,0,0,0,11.18,3.86
02/01/2014 08:00:00,21.52,44,17.77,5.65,11.63,4.04
02/01/2014 09:00:00,18.18,0,35,14.71,12.08,4.22
02/01/2014 10:00:00,70.96,0,100,22.09,11.96,4.12
02/01/2014 11:00:00,144.44,5,180,27.14,11.83,4.02
02/01/2014 12:00:00,53.33,0,79,29.28,11.71,3.92
02/01/2014 13:00:00,50.04,0,75,28.18,11.55,3.99
02/01/2014 14:00:00,35.35,0,57,24.02,11.38,4.06
02/01/2014 15:00:00,44.34,0,68,17.33,11.22,4.14
02/01/2014 16:00:00,13.9,0,29,8.75,11.16,4.06
02/01/2014 17:00:00,0,0,0,0,11.1,3.99
02/01/2014 18:00:00,0,0,0,0,11.03,3.92
02/01/2014 19:00:00,0,0,0,0,11.27,3.95
02/01/2014 20:00:00,0,0,0,0,11.5,3.98
02/01/2014 21:00:00,0,0,0,0,11.73,4.01
02/01/2014 22:00:00,0,0,0,0,12.12,3.83
02/01/2014 23:00:00,0,0,0,0,12.51,3.65
03/01/2014 00:00:00,0,0,0,0,12.89,3.46
03/01/2014 01:00:00,0,0,0,0,12.93,3.37
03/01/2014 02:00:00,0,0,0,0,12.97,3.28
03/01/2014 03:00:00,0,0,0,0,13.01,3.19
03/01/2014 04:00:00,0,0,0,0,12.98,3.24
03/01/2014 05:00:00,0,0,0,0,12.95,3.3
03/01/2014 06:00:00,0,0,0,0,12.91,3.35
03/01/2014 07:00:00,0,0,0,0,13.3,3.1
03/01/2014 08:00:00,13.9,1,28.79,5.64,13.69,2.85
